timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719214026827,3212,HTTP Request,200,OK,Thread Group 1-8,text,true,,339846,242,10,10,https://www.tops-int.com/,1092,0,1040
1719214026827,1093,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,355,121,10,10,http://www.tops-int.com/,1092,0,1040
1719214027921,2118,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,339491,121,10,10,https://www.tops-int.com/,1682,0,872
1719214026422,4002,HTTP Request,200,OK,Thread Group 1-4,text,true,,339701,242,9,9,https://www.tops-int.com/,591,0,335
1719214026422,624,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,355,121,9,9,http://www.tops-int.com/,591,0,335
1719214027054,3370,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,339346,121,9,9,https://www.tops-int.com/,2893,0,1733
1719214026283,4557,HTTP Request,200,OK,Thread Group 1-2,text,true,,339647,242,8,8,https://www.tops-int.com/,731,0,476
1719214026283,765,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,355,121,8,8,http://www.tops-int.com/,731,0,476
1719214027060,3780,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,339292,121,8,8,https://www.tops-int.com/,3249,0,1729
1719214026732,4168,HTTP Request,200,OK,Thread Group 1-7,text,true,,339562,242,7,7,https://www.tops-int.com/,1103,0,1051
1719214026732,1103,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,355,121,7,7,http://www.tops-int.com/,1103,0,1051
1719214027837,3063,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,339207,121,7,7,https://www.tops-int.com/,2604,0,959
1719214026625,4634,HTTP Request,200,OK,Thread Group 1-6,text,true,,340005,242,6,6,https://www.tops-int.com/,388,0,132
1719214026625,421,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,355,121,6,6,http://www.tops-int.com/,388,0,132
1719214027051,4208,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,339650,121,6,6,https://www.tops-int.com/,3813,0,1745
1719214026927,4656,HTTP Request,200,OK,Thread Group 1-9,text,true,,340517,242,5,5,https://www.tops-int.com/,1107,0,1066
1719214026927,1107,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,355,121,5,5,http://www.tops-int.com/,1107,0,1066
1719214028035,3548,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,340162,121,5,5,https://www.tops-int.com/,3339,0,762
1719214026283,5578,HTTP Request,200,OK,Thread Group 1-1,text,true,,339632,242,4,4,https://www.tops-int.com/,730,0,476
1719214026283,765,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,355,121,4,4,http://www.tops-int.com/,730,0,476
1719214027052,4809,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,339277,121,4,4,https://www.tops-int.com/,4397,0,1760
1719214026529,5582,HTTP Request,200,OK,Thread Group 1-5,text,true,,339625,242,3,3,https://www.tops-int.com/,484,0,228
1719214026529,517,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,355,121,3,3,http://www.tops-int.com/,484,0,228
1719214027055,5056,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,339270,121,3,3,https://www.tops-int.com/,4666,0,1761
1719214027072,5314,HTTP Request,200,OK,Thread Group 1-10,text,true,,339660,242,2,2,https://www.tops-int.com/,134,0,83
1719214027072,134,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,355,121,2,2,http://www.tops-int.com/,134,0,83
1719214027210,5176,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,339305,121,2,2,https://www.tops-int.com/,4844,0,1608
1719214026323,6220,HTTP Request,200,OK,Thread Group 1-3,text,true,,339726,242,1,1,https://www.tops-int.com/,690,0,435
1719214026323,725,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,355,121,1,1,http://www.tops-int.com/,690,0,435
1719214027054,5489,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,339371,121,1,1,https://www.tops-int.com/,5233,0,1765
